book_id,title,author,publication_year,confidence,recommended_action,url
232,DNA Basics | Physics Library,Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=232
234,"Metatheories: Metalogics, Algebraic Logics, Many-Valued Logics and Metamathematics | Physics Library",Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=234
235,Computational Dynamics | Physics Library,Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=235
236,Medical Biophysics of the Heart: Cardiological Biophysics and Physiology | Physics Library,Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=236
240,An Introduction to Control Systems | Physics Library,Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=240
249,"Nonabelian Algebraic Topology:Filtered Spaces, Crossed Complexes, Cubical Homotopy Groupoids | Physics Library","Ronald Brown, Bangor University, UK; Philip J. Higgins, Durham University, UK; Rafael Sivera, University of Valencia, Spain Uploaded by: bci1",2010,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=249
252,Seven Lectures on the Universal Algebraic Geometry | Physics Library,"Borisov Plotkin, Institute of Mathematics, Hebrew University, Jerusalem, Israel Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=252
256,Lectures on Noncommutative Geometry (NCG) | Physics Library,"Victor Ginzburg, Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=256
257,Noncommutative Geometry | Physics Library,Contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=257
258,Arithmetic Noncommutative Geometry | Physics Library,Matilde Marcolli Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=258
268,Basic Physics of Nuclear Medicine | Physics Library,By Kieran Maher and other Wikibooks contributors listed in the attached PDF file Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=268
275,"Biophysical Chemistry and Theoretical Biophysics: Principles, Theory and Applications | Physics Library","Bci2--Book Editor, with the wiki contributors listed in the attached PDF Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=275
277,Spectroscopy | Physics Library,vip6 Uploaded by: vip6,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=277
292,NIC Series Volume 36: From Computational Biophysics to Systems Biology (CBSB07) | Physics Library,"Ulrich H. E. Hansmann, Jan Meinke, Sandipan Mohanty, and Olav Zimmermann (Editors) Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=292
295,Quantum Mechanics I | Physics Library,Peter S. Riseborough Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=295
296,ADVANCED QUANTUM MECHANICS: II | Physics Library,"Dr. Douglas M. Gingrich, University of Alberta, Canada Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=296
297,Fundamentals of Model Theory | Physics Library,William Weiss and Cherie D'Mello Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=297
298,Mathematical Tools for Physics | Physics Library,"James Nearing, Physics Department, University of Miami Uploaded by: bci1",2003,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=298
299,Abstract Harmonic Analysis. Structure of Non-locally compact Abelian Group Representations | Physics Library,J. Foukzon Uploaded by: bci1 Abstract: Mathematical concepts and tools that are useful in physics applications and theory.,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=299
301,P(F)4 Euclidian Quantum Field Theory | Physics Library,J. Foukzon Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=301
305,An Introduction to Lie Groups and Symplectic Geometry | Physics Library,Robert Bryant Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=305
306,Advanced Quantum Field Theory | Physics Library,"Roberto Casalbuoni, Physics Dept.,Universita di Firenze Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=306
307,Emergence of Ultracomplexity | Physics Library,bci1 et al. Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=307
315,Hyperspectral and Chemical Imaging: Micro- and Nano- spectroscopy | Physics Library,vip6 et al. Uploaded by: vip6,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=315
316,Spectroscopy | Physics Library,vip6 et al. editors Uploaded by: vip6,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=316
327,Graph Theory | Physics Library,Christopher Mawata Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=327
328,Statistical Abstract of Undergraduate Programs in the Mathematical Sciences in the United States | Physics Library,"David J. Lutzer, Stephen B. Rodi, Ellen E. Kirkman, and James W. Maxwell Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=328
330,"Symplectic Geometry: overview written for the Handbook of Differential Geometry, vol. 2 | Physics Library",Ana Cannas da Silva for Handbook Eds. F.J.E. Dillen and L.C.A. Verstraelen Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=330
332,Physics: An Overview | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=332
333,"Nonabelian Algebraic Topology: filtered spaces, crossed complexes, cubical higher homotopy groupoids | Physics Library","Ronald Brown, Philip J. Higgins and Rafael Sivera Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=333
338,Molecular Dynamics Simulation and Modeling | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=338
344,Algebraic Groups and Discontinuous Subgroups | Physics Library,Armand Borel and George D. Mostow Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=344
346,An Introduction to Mathematical Optimal Control Theory | Physics Library,"Lawrence C. Evans , Department of Mathematics, University of California, Berkeley, CA 94720 Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=346
347,"Automorphic Forms, Representations, and L-Functions , (I and II) | Physics Library",Editors: A. Borel and W. Casselman Uploaded by: bci1,1979,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=347
350,"Automorphic Forms, Representations, and L-Functions, (III) | Physics Library",Editors: A. Borel and W. Casselman Uploaded by: bci1,1979,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=350
351,Abelian categories | Physics Library,Peter J. Freyd Uploaded by: bci1,1964,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=351
352,Clifford Algebras and Their Applications in Mathematical Physics: Volume 2--Clifford Analysis. | Physics Library,"Rafal Ablamowicz, John Ryan, Wolfgang Spranssig, Editors Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=352
353,"Clifford Algebras: Volume 1--Applications in Mathematics, Physics, and Engineering. | Physics Library","Rafael Abramowicz, Editor Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=353
355,CATEGORIES AND GROUPOIDS | Physics Library,P. J. HIGGINS Uploaded by: bci1,2005,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=355
356,Functorial Semantics of Algebraic Theories and Some Algebraic Problems in the context of Functorial Semantics of Algebraic Theories | Physics Library,F. William Lawvere Uploaded by: bci1,1963,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=356
359,"Seminar on Triples and Categorical Homology Theory Lecture Notes in Mathematics, Volume 80 | Physics Library","Beno Eckmann and Myles Tierney, eds. Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=359
360,Abstract and concrete categories: The joy of cats | Physics Library,"Jiri Adamek, Horst Herrlich and George Strecker Uploaded by: bci1",1990,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=360
363,"Physical Chemistry of Food Processes: Advanced Techniques and Applications, Second Edition | Physics Library","I.C. Baianu, Editor Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=363
364,"Physical Chemistry of Food Processes: Advanced techniques, structures, and applications | Physics Library","I. C. Baianu, Helmut Pessen, Thomas F. Kumosinski, Editors Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=364
365,Quantum Algebraic Topology (QAT) | Physics Library,"Contributed book, edited by bci1 Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=365
366,"Magnetic Resonance Spectroscopy and Imaging: NMR, MRI, ESR and Imaging Applications | Physics Library","Bci2, editor with the contributors listed Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=366
367,Biophysical Chemistry and Theoretical Biophysics | Physics Library,"Bci2, editor and contributing",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=367
368,Nuclear Magnetic Resonance Spectroscopy and Medical Imaging Applications | Physics Library,"Bci2, editor with listed contributors Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=368
369,Complexity and Dynamics | Physics Library,Bci2 Editor (with the contributors specified after,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=369
370,Cancer Modeling and Simulation | Physics Library,"Luigi Preziosi, Editor Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=370
371,Physics Library,,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=371
372,Complex SpaceTime Structures | Physics Library,"I.C. Baianu, R.Brown and J.F. Glazebrook Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=372
373,GEOMETRIC AND ALGEBRAIC TOPOLOGICAL METHODS IN QUANTUM MECHANICS | Physics Library,"Giovanni Giachetta (University of Camerino, Italy), Luigi Mangiarotti (University of Camerino, Italy), and Gennadi Sardanashvily (Moscow State University, Russia) Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=373
375,"Nuclear Medicine, Tomography and Imaging | Physics Library","Bci2 editor, with listed contributors Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=375
376,"Symbolic Dynamics, Algebraic Topology and Quantum Computing | Physics Library",I. C. Baianu et al. (eds.) Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=376
377,Complex Systems Biology and Life' s Logic in memory of Robert Rosen | Physics Library,Several contributing,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=377
378,Complex Spacetime Structures: Categorical Ontology | Physics Library,"I. C. Baianu, R. Brown and J. F. Glazebrook Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=378
379,"Biophysical Chemistry,Nuclear Medicine and Theoretical Biophysics, vol.1 | Physics Library",Bci2 with contributors listed Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=379
380,Biographies of Mathematical/Theoretical Biologists and Biophysicists | Physics Library,Bci2 with contributors Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=380
381,Control Systems | Physics Library,Bci2 with contributors Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=381
382,Techniques and Instrumentation for Structure Determination | Physics Library,"I.C. Baianu, Ph.D.,M.Inst.P., Editor Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=382
383,"Symbolic Dynamics and Dynamical System Models: Topological, Categorical and Quantum Dynamics | Physics Library","I. C. Baianu, Editor with listed contributors Uploaded by: bci1",,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=383
392,"Algebraic Logic, Quantum Algebra and Algebraic Mathematics | Physics Library",Bci2 et al. Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=392
394,Relativity Theories | Physics Library,Bci2 et al. Uploaded by: bci1,,low,Hold from rehosting pending source/license or public-domain verification,https://physicslibrary.org/?op=getobj;from=books;id=394
